0.586384,-0.833064,0.147536,1.22301,-1.72094,-1.55604,2.97153
0.554927,0.565912,2.94033,1.22168,1.7143,-1.55604,-2.29197
0.575325,-0.831762,0.166337,1.22294,-1.73169,-1.54871,2.97263
0.545759,0.564108,2.92464,1.22157,1.72548,-1.54871,-2.29303
0.564288,-0.830276,0.185139,1.22281,-1.74248,-1.54138,2.97382
0.536612,0.56215,2.90896,1.22142,1.7367,-1.54138,-2.29418
0.553278,-0.828604,0.203939,1.22264,-1.75333,-1.53405,2.9751
0.527487,0.560037,2.89328,1.22124,1.74797,-1.53405,-2.29541
0.518385,0.557768,2.87759,1.22102,1.7593,-1.52672,-2.29674
0.542297,-0.826746,0.222736,1.22243,-1.76423,-1.52672,2.97647
0.53135,-0.824702,0.241529,1.22216,-1.7752,-1.51939,2.97793
0.509307,0.555344,2.8619,1.22078,1.77069,-1.51939,-2.29817
0.52044,-0.82247,0.260318,1.22185,-1.78625,-1.51206,2.97949
0.500256,0.552763,2.84621,1.2205,1.78214,-1.51206,-2.29968
0.509571,-0.82005,0.2791,1.22149,-1.79736,-1.50474,2.98113
0.491233,0.550025,2.83051,1.2202,1.79367,-1.50474,-2.30129
0.498747,-0.817442,0.297876,1.2211,-1.80857,-1.49741,2.98287
0.482238,0.547129,2.81481,1.21986,1.80526,-1.49741,-2.30299
0.487972,-0.814646,0.316644,1.22065,-1.81985,-1.49008,2.98471
0.473274,0.544074,2.7991,1.2195,1.81694,-1.49008,-2.30479
0.477248,-0.811659,0.335404,1.22017,-1.83124,-1.48275,2.98664
0.464342,0.54086,2.78339,1.2191,1.82871,-1.48275,-2.30668
0.466579,-0.808483,0.354155,1.21964,-1.84272,-1.47542,2.98867
0.455443,0.537485,2.76767,1.21868,1.84056,-1.47542,-2.30868
0.455969,-0.805115,0.372898,1.21908,-1.85431,-1.46809,2.9908
0.446579,0.533948,2.75194,1.21823,1.85251,-1.46809,-2.31077
0.44542,-0.801556,0.391631,1.21847,-1.86602,-1.46076,2.99303
0.43775,0.530249,2.7362,1.21775,1.86456,-1.46076,-2.31297
0.434936,-0.797804,0.410355,1.21783,-1.87784,-1.45343,2.99536
0.428957,0.526386,2.72045,1.21724,1.87672,-1.45343,-2.31527
0.42452,-0.793858,0.429071,1.21715,-1.88979,-1.4461,2.9978
0.420203,0.522358,2.70469,1.21671,1.88899,-1.4461,-2.31767
0.414175,-0.789717,0.447778,1.21644,-1.90187,-1.43877,3.00034
0.411488,0.518163,2.68891,1.21615,1.90138,-1.43877,-2.32018
0.403904,-0.785381,0.466477,1.21569,-1.91409,-1.43144,3.003
0.402813,0.5138,2.67311,1.21557,1.91389,-1.43144,-2.3228
